date,zone_id,zone_name,consumption_m3,tariff_sar_per_m3,is_actual_leak_period
2026-06-20,Z1,Industrial Plant - Riyadh,446.91,5.5,False
2026-06-21,Z1,Industrial Plant - Riyadh,451.5,5.5,False
2026-06-22,Z1,Industrial Plant - Riyadh,482.41,5.5,False
2026-06-23,Z1,Industrial Plant - Riyadh,495.6,5.5,False
2026-06-24,Z1,Industrial Plant - Riyadh,476.92,5.5,False
2026-06-25,Z1,Industrial Plant - Riyadh,466.45,5.5,False
2026-06-26,Z1,Industrial Plant - Riyadh,459.21,5.5,False
2026-06-27,Z1,Industrial Plant - Riyadh,421.91,5.5,False
2026-06-28,Z1,Industrial Plant - Riyadh,389.68,5.5,False
2026-06-29,Z1,Industrial Plant - Riyadh,452.58,5.5,False
2026-06-30,Z1,Industrial Plant - Riyadh,472.91,5.5,False
2026-07-01,Z1,Industrial Plant - Riyadh,446.34,5.5,False
2026-07-02,Z1,Industrial Plant - Riyadh,448.22,5.5,False
2026-07-03,Z1,Industrial Plant - Riyadh,443.94,5.5,False
2026-07-04,Z1,Industrial Plant - Riyadh,415.27,5.5,False
2026-07-05,Z1,Industrial Plant - Riyadh,391.73,5.5,False
2026-07-06,Z1,Industrial Plant - Riyadh,426.19,5.5,False
2026-07-07,Z1,Industrial Plant - Riyadh,451.63,5.5,False
2026-07-08,Z1,Industrial Plant - Riyadh,498.55,5.5,False
2026-07-09,Z1,Industrial Plant - Riyadh,491.09,5.5,False
2026-07-10,Z1,Industrial Plant - Riyadh,481.9,5.5,False
2026-07-11,Z1,Industrial Plant - Riyadh,437.8,5.5,False
2026-07-12,Z1,Industrial Plant - Riyadh,427.15,5.5,False
2026-07-13,Z1,Industrial Plant - Riyadh,472.37,5.5,False
2026-07-14,Z1,Industrial Plant - Riyadh,472.2,5.5,False
2026-07-15,Z1,Industrial Plant - Riyadh,456.83,5.5,False
2026-07-16,Z1,Industrial Plant - Riyadh,441.12,5.5,False
2026-07-17,Z1,Industrial Plant - Riyadh,445.22,5.5,False
2026-07-18,Z1,Industrial Plant - Riyadh,414.91,5.5,False
2026-07-19,Z1,Industrial Plant - Riyadh,420.41,5.5,False
2026-07-20,Z1,Industrial Plant - Riyadh,446.83,5.5,False
2026-07-21,Z1,Industrial Plant - Riyadh,456.12,5.5,False
2026-07-22,Z1,Industrial Plant - Riyadh,434.99,5.5,False
2026-07-23,Z1,Industrial Plant - Riyadh,459.48,5.5,False
2026-07-24,Z1,Industrial Plant - Riyadh,500.51,5.5,False
2026-07-25,Z1,Industrial Plant - Riyadh,593.7,5.5,True
2026-07-26,Z1,Industrial Plant - Riyadh,579.38,5.5,True
2026-07-27,Z1,Industrial Plant - Riyadh,622.2,5.5,True
2026-07-28,Z1,Industrial Plant - Riyadh,588.74,5.5,True
2026-07-29,Z1,Industrial Plant - Riyadh,558.11,5.5,True
2026-07-30,Z1,Industrial Plant - Riyadh,589.7,5.5,True
2026-07-31,Z1,Industrial Plant - Riyadh,583.05,5.5,True
2026-08-01,Z1,Industrial Plant - Riyadh,638.23,5.5,True
2026-08-02,Z1,Industrial Plant - Riyadh,652.96,5.5,True
2026-08-03,Z1,Industrial Plant - Riyadh,705.59,5.5,True
2026-08-04,Z1,Industrial Plant - Riyadh,755.16,5.5,True
2026-08-05,Z1,Industrial Plant - Riyadh,439.71,5.5,False
2026-08-06,Z1,Industrial Plant - Riyadh,453.4,5.5,False
