loss_scenario,daily_loss_m3,annual_loss_m3,tariff_tier,tariff_rate,illustrative_annual_value_sar
الحد الأدنى المنشور (600 ألف م³/يوم),600000,219000000,0–15 م³/شهر,0.15,32850000
الحد الأدنى المنشور (600 ألف م³/يوم),600000,219000000,16–30 م³/شهر,1.5,328500000
الحد الأدنى المنشور (600 ألف م³/يوم),600000,219000000,31–45 م³/شهر,4.5,985500000
الحد الأدنى المنشور (600 ألف م³/يوم),600000,219000000,46–60 م³/شهر,6.0,1314000000
الحد الأدنى المنشور (600 ألف م³/يوم),600000,219000000,أكثر من 60 م³/شهر,9.0,1971000000
الحد الأعلى المنشور (800 ألف م³/يوم),800000,292000000,0–15 م³/شهر,0.15,43800000
الحد الأعلى المنشور (800 ألف م³/يوم),800000,292000000,16–30 م³/شهر,1.5,438000000
الحد الأعلى المنشور (800 ألف م³/يوم),800000,292000000,31–45 م³/شهر,4.5,1314000000
الحد الأعلى المنشور (800 ألف م³/يوم),800000,292000000,46–60 م³/شهر,6.0,1752000000
الحد الأعلى المنشور (800 ألف م³/يوم),800000,292000000,أكثر من 60 م³/شهر,9.0,2628000000
