region,population_2022,lpcd_2022,data_confirmed,note,excess_lpcd_vs_2030_target,excess_m3_per_year,excess_value_sar_low_tariff,excess_value_sar_high_tariff
المنطقة الشرقية,5125254,368.0,True,رقم منشور بالتحديد لعام 2022,218.0,407816461,61172469,3670348147
الرياض,8591748,352.7,True,رقم منشور بالتحديد لعام 2022,202.7,635664772,95349716,5720982945
مكة المكرمة,8021463,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,436247265,65437090,3926225387
المدينة المنورة,2137983,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,116274205,17441131,1046467849
القصيم,1336179,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,72668095,10900214,654012854
الباحة,339174,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,18445978,2766897,166013802
تبوك,886036,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,48187068,7228060,433683611
حائل,746406,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,40593290,6088994,365339613
الجوف,595822,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,32403779,4860567,291634015
الحدود الشمالية,373577,299.0,False,لا يوجد رقم إقليمي منشور — تم استخدام المتوسط الوطني الحقيقي لعام 2022 بدلاً من اختراع رقم,149.0,20316985,3047548,182852866
نجران,592300,143.2,True,رقم منشور بالتحديد لعام 2022 (الأدنى وطنيًا),0.0,0,0,0
عسير,2024285,118.0,False,الورقة العلمية تذكر 'أقل من 120 لتر' دون رقم دقيق منشور — استخدمنا 118 كتقدير متحفظ ضمن هذا النطاق المذكور,0.0,0,0,0
جازان,1404997,118.0,False,الورقة العلمية تذكر 'أقل من 120 لتر' دون رقم دقيق منشور — استخدمنا 118 كتقدير متحفظ ضمن هذا النطاق المذكور,0.0,0,0,0
